# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
Rv0680c	Rv0680c	CCP43423	protein_coding	0	0	58	0	0	0	0	58	0	0	0	0	0	0	0	0
Rv0681	Rv0681	CCP43424	protein_coding	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	57
Rv0695	Rv0695	CCP43439	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv0696	Rv0696	CCP43440	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv0697	Rv0697	CCP43441	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv0698	Rv0698	CCP43442	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv0699	Rv0699	CCP43443	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv1167c	Rv1167c	CCP43923	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1171	Rv1171	CCP43927	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv1176c	Rv1176c	CCP43932	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv1178	Rv1178	CCP43934	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1254	Rv1254	CCP44010	protein_coding	0	0	18	0	0	0	0	18	0	0	0	0	0	0	0	0
Rv1255c	Rv1255c	CCP44011	protein_coding	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18
Rv1257c	Rv1257c	CCP44013	protein_coding	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18
Rv1258c	Rv1258c	CCP44014	protein_coding	15	1	4	2	0	0	0	0	14	0	0	2	0	0	0	4
Rv1260	Rv1260	CCP44016	protein_coding	2	0	20	0	0	0	0	2	0	0	0	0	0	0	2	18
Rv1261c	Rv1261c	CCP44017	protein_coding	2	0	20	0	0	0	0	18	0	0	0	0	0	0	2	2
Rv1262c	Rv1262c	CCP44018	protein_coding	2	0	20	0	0	0	0	18	0	0	0	0	0	0	2	2
Rv1264	Rv1264	CCP44020	protein_coding	2	0	14	0	0	0	0	1	1	0	0	0	0	0	1	13
Rv1265	Rv1265	CCP44021	protein_coding	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2
Rv1268c	Rv1268c	CCP44024	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv1312	Rv1312	CCP44069	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
Rv1313c	Rv1313c	CCP44070	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
Rv1314c	Rv1314c	CCP44071	protein_coding	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	20
Rv1318c	Rv1318c	CCP44075	protein_coding	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0
Rv1319c	Rv1319c	CCP44076	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv1691	Rv1691	CCP44456	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
Rv1692	Rv1692	CCP44457	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
Rv1693	Rv1693	CCP44458	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
Rv1697	Rv1697	CCP44462	protein_coding	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	22
Rv1903	Rv1903	CCP44670	protein_coding	0	0	64	0	0	0	0	64	0	0	0	0	0	0	0	0
Rv1904	Rv1904	CCP44671	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
Rv1906c	Rv1906c	CCP44673	protein_coding	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	89
Rv1907c	Rv1907c	CCP44674	protein_coding	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	89
Rv1910c	Rv1910c	CCP44677	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
Rv1913	Rv1913	CCP44680	protein_coding	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	84
Rv1914c	Rv1914c	CCP44681	protein_coding	0	0	52	0	0	0	0	52	0	0	0	0	0	0	0	0
Rv1919c	Rv1919c	CCP44686	protein_coding	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0
Rv1920	Rv1920	CCP44687	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
Rv1922	Rv1922	CCP44689	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1972	Rv1972	CCP44741	protein_coding	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0
Rv1973	Rv1973	CCP44742	protein_coding	0	0	25	0	0	0	0	25	0	0	0	0	0	0	0	0
Rv1974	Rv1974	CCP44743	protein_coding	0	0	35	0	0	0	0	35	0	0	0	0	0	0	0	0
Rv1975	Rv1975	CCP44744	protein_coding	0	0	42	0	0	0	0	42	0	0	0	0	0	0	0	0
Rv1976c	Rv1976c	CCP44745	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42
Rv1977	Rv1977	CCP44746	protein_coding	0	0	42	0	0	0	0	42	0	0	0	0	0	0	0	0
Rv1978	Rv1978	CCP44747	protein_coding	1	1	40	0	1	0	0	40	1	0	0	0	0	0	0	0
Rv1979c	Rv1979c	CCP44748	protein_coding	27	8	7	2	0	4	2	0	27	0	0	0	0	0	0	7
Rv2037c	Rv2037c	CCP44810	protein_coding	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
Rv2038c	Rv2038c	CCP44811	protein_coding	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	313
Rv2039c	Rv2039c	CCP44812	protein_coding	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	313
Rv2040c	Rv2040c	CCP44813	protein_coding	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	313
Rv2041c	Rv2041c	CCP44814	protein_coding	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	313
Rv2042c	Rv2042c	CCP44815	protein_coding	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	313
Rv2044c	Rv2044c	CCP44817	protein_coding	3	0	316	0	0	0	0	313	0	0	0	0	0	0	3	3
Rv2047c	Rv2047c	CCP44820	protein_coding	0	0	313	0	0	0	0	313	0	0	0	0	0	0	0	0
Rv2413c	Rv2413c	CCP45204	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv2414c	Rv2414c	CCP45205	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv2415c	Rv2415c	CCP45206	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv2417c	Rv2417c	CCP45208	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv2418c	Rv2418c	CCP45209	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv2420c	Rv2420c	CCP45211	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv2422	Rv2422	CCP45213	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv2423	Rv2423	CCP45214	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv2531c	Rv2531c	CCP45326	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2532c	Rv2532c	CCP45327	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2536	Rv2536	CCP45331	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2541	Rv2541	CCP45336	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2762c	Rv2762c	CCP45561	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv2765	Rv2765	CCP45564	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv2766c	Rv2766c	CCP45565	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv2767c	Rv2767c	CCP45566	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv2774c	Rv2774c	CCP45573	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2775	Rv2775	CCP45574	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv2776c	Rv2776c	CCP45575	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2777c	Rv2777c	CCP45576	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2778c	Rv2778c	CCP45577	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2779c	Rv2779c	CCP45578	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2781c	Rv2781c	CCP45580	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv3230c	Rv3230c	CCP46049	protein_coding	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
Rv3231c	Rv3231c	CCP46050	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv3233c	Rv3233c	CCP46052	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv3235	Rv3235	CCP46054	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
Rv3236c	Rv3236c	CCP46055	protein_coding	6	1	4	0	1	0	0	0	6	0	0	0	0	0	0	4
Rv3237c	Rv3237c	CCP46056	protein_coding	4	0	7	0	0	1	0	7	3	0	0	1	0	0	0	0
Rv3238c	Rv3238c	CCP46057	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
Rv3239c	Rv3239c	CCP46058	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
Rv3256c	Rv3256c	CCP46075	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv3258c	Rv3258c	CCP46077	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv3259	Rv3259	CCP46078	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv3263	Rv3263	CCP46082	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv3542c	Rv3542c	CCP46364	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
Rv3548c	Rv3548c	CCP46370	protein_coding	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0
Rv3549c	Rv3549c	CCP46371	protein_coding	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0
Rv3551	Rv3551	CCP46373	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
Rv3552	Rv3552	CCP46374	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
Rv3553	Rv3553	CCP46375	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
Rv3599c	Rv3599c	CCP46422	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv3600c	Rv3600c	CCP46423	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv3603c	Rv3603c	CCP46426	protein_coding	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	2
Rv3604c	Rv3604c	CCP46427	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv3605c	Rv3605c	CCP46428	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv3796	Rv3796	CCP46625	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv3847	Rv3847	CCP46676	protein_coding	0	0	121	0	0	0	0	121	0	0	0	0	0	0	0	0
Rv3848	Rv3848	CCP46677	protein_coding	0	0	168	0	0	0	0	168	0	0	0	0	0	0	0	0
Rv3850	Rv3850	CCP46679	protein_coding	0	0	168	0	0	0	0	168	0	0	0	0	0	0	0	0
Rv3851	Rv3851	CCP46680	protein_coding	0	0	168	0	0	0	0	168	0	0	0	0	0	0	0	0
Rv3856c	Rv3856c	CCP46685	protein_coding	3	0	169	1	0	0	0	168	1	0	2	0	0	2	1	1
Rv3857c	Rv3857c	CCP46686	protein_coding	1	0	169	0	0	0	0	168	0	0	0	0	0	0	1	1
Rv3915	Rv3915	CCP46744	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
Rv3916c	Rv3916c	CCP46745	protein_coding	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	89
Rv3920c	Rv3920c	CCP46749	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
Rv3921c	Rv3921c	CCP46750	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
Rv3922c	Rv3922c	CCP46751	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
TB8.4	Rv1174c	CCP43930	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
aao	Rv1905c	CCP44672	protein_coding	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	89
aceAa	Rv1915	CCP44682	protein_coding	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	40
aftA	Rv3792	CCP46621	protein_coding	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ald	Rv2780	CCP45579	protein_coding	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
alkA	Rv1317c	CCP44074	protein_coding	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0
amiB2	Rv1263	CCP44019	protein_coding	2	0	20	0	0	0	0	2	0	0	0	0	0	0	2	18
aroB	Rv2538c	CCP45333	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
aroD	Rv2537c	CCP45332	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
aroF	Rv2540c	CCP45335	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
aroK	Rv2539c	CCP45334	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
atpC	Rv1311	CCP44068	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
atpD	Rv1310	CCP44067	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
atsD	Rv0663	CCP43406	protein_coding	0	0	33	0	0	0	0	33	0	0	0	0	0	0	0	0
cfp21	Rv1984c	CCP44754	protein_coding	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0
cinA	Rv1901	CCP44668	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
clpC1	Rv3596c	CCP46419	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
cyp125	Rv3545c	CCP46367	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
cyp130	Rv1256c	CCP44012	protein_coding	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18
dapB	Rv2773c	CCP45572	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ddn	Rv3547	CCP46369	protein_coding	5	3	1	1	0	2	0	0	5	0	0	0	0	0	0	1
deaD	Rv1253	CCP44009	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
dfrA	Rv2763c	CCP45562	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
echA20	Rv3550	CCP46372	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
echA4	Rv0673	CCP43416	protein_coding	0	0	34	0	0	0	0	34	0	0	0	0	0	0	0	0
echA5	Rv0675	CCP43418	protein_coding	0	0	58	0	0	0	0	58	0	0	0	0	0	0	0	0
efp	Rv2534c	CCP45329	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
eis	Rv2416c	CCP45207	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
embA	Rv3794	CCP46623	protein_coding	5	0	2	0	0	0	0	1	5	0	0	0	0	0	0	1
embB	Rv3795	CCP46624	protein_coding	1	0	6	0	0	0	0	0	1	0	0	0	0	0	0	6
embC	Rv3793	CCP46622	protein_coding	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0
embR	Rv1267c	CCP44023	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
espR	Rv3849	CCP46678	protein_coding	0	0	168	0	0	0	0	168	0	0	0	0	0	0	0	0
ethA	Rv3854c	CCP46683	protein_coding	151	17	6	9	1	9	0	0	149	0	0	6	0	0	0	6
ethR	Rv3855	CCP46684	protein_coding	3	2	171	2	0	0	0	3	0	0	0	0	0	0	3	168
fadA5	Rv3546	CCP46368	protein_coding	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0
fadB5	Rv1912c	CCP44679	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
fadE28	Rv3544c	CCP46366	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
fadE29	Rv3543c	CCP46365	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
fadE35	Rv3797	CCP46626	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
fadE8	Rv0672	CCP43415	protein_coding	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0
fadH	Rv1175c	CCP43931	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
fbiA	Rv3261	CCP46080	protein_coding	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
fbiB	Rv3262	CCP46081	protein_coding	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2
fbiC	Rv1173	CCP43929	protein_coding	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	2
fdxC	Rv1177	CCP43933	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
folB	Rv3607c	CCP46430	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
folE	Rv3609c	CCP46432	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
folK	Rv3606c	CCP46429	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
folP1	Rv3608c	CCP46431	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ftsH	Rv3610c	CCP46433	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
furA	Rv1909c	CCP44676	protein_coding	1	0	89	1	0	0	0	89	0	0	1	0	0	1	0	0
fusA1	Rv0684	CCP43427	protein_coding	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	43
gid	Rv3919c	CCP46748	protein_coding	84	5	4	0	0	5	0	0	84	0	0	4	0	0	0	4
gltB	Rv3859c	CCP46688	protein_coding	0	0	116	0	0	0	0	116	0	0	0	0	0	0	0	0
gltD	Rv3858c	CCP46687	protein_coding	0	0	168	0	0	0	0	168	0	0	0	0	0	0	0	0
gpgP	Rv2419c	CCP45210	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
gpsI	Rv2783c	CCP45582	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
hns	Rv3852	CCP46681	protein_coding	0	0	168	0	0	0	0	168	0	0	0	0	0	0	0	0
hsdM	Rv2756c	CCP45555	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
hsdS	Rv2761c	CCP45560	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
katG	Rv1908c	CCP44675	protein_coding	71	18	1	8	3	7	0	0	71	0	0	0	0	0	0	1
lipD	Rv1923	CCP44690	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
lipT	Rv2045c	CCP44818	protein_coding	3	0	313	0	0	0	0	313	3	0	3	0	0	3	0	0
lipX	Rv1169c	CCP43925	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
lppC	Rv1911c	CCP44678	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
lppF	Rv1921c	CCP44688	protein_coding	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0
lppI	Rv2046	CCP44819	protein_coding	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	313
lpqP	Rv0671	CCP43414	protein_coding	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
lpqW	Rv1166	CCP43922	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
lprJ	Rv1690	CCP44455	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
lsr2	Rv3597c	CCP46420	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
lysS	Rv3598c	CCP46421	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
manA	Rv3255c	CCP46074	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
manB	Rv3264c	CCP46083	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
mcr11	EBG00000313343	EBG00000313343-1	lincRNA	1	0	3	0	0	0	0	2	0	0	0	0	0	0	1	1
mcr3	EBG00000313377	EBG00000313377-1	lincRNA	0	0	25	0	0	0	0	20	0	4	0	0	0	0	0	1
mctB	Rv1698	CCP44463	protein_coding	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	22
mmpL5	Rv0676c	CCP43419	protein_coding	18	5	35	1	0	3	1	0	18	0	0	0	1	0	0	35
mmpS5	Rv0677c	CCP43420	protein_coding	4	1	53	0	0	0	1	23	4	0	0	0	0	0	0	30
mpg	Rv1688	CCP44453	protein_coding	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0
mpr17	EBG00000313367	EBG00000313367-1	lincRNA	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
mpt64	Rv1980c	CCP44749	protein_coding	3	1	38	0	0	1	0	38	3	0	0	0	0	0	0	0
mshB	Rv1170	CCP43926	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
murA	Rv1315	CCP44072	protein_coding	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0
nadD	Rv2421c	CCP45212	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
nanT	Rv1902c	CCP44669	protein_coding	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	48
nrdF1	Rv1981c	CCP44750	protein_coding	0	0	42	0	0	0	0	42	0	0	0	0	0	0	0	0
nusB	Rv2533c	CCP45328	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ogt	Rv1316c	CCP44073	protein_coding	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0
panC	Rv3602c	CCP46425	protein_coding	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	2
panD	Rv3601c	CCP46424	protein_coding	3	0	2	0	0	0	0	0	3	0	0	0	0	0	0	2
parA	Rv3918c	CCP46747	protein_coding	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	89
parB	Rv3917c	CCP46746	protein_coding	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	89
pepQ	Rv2535c	CCP45330	protein_coding	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
pepR	Rv2782c	CCP45581	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
pknH	Rv1266c	CCP44022	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
pks12	Rv2048c	CCP44821	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
pmmA	Rv3257c	CCP46076	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
pncA	Rv2043c	CCP44816	protein_coding	255	54	7	12	10	33	3	0	251	0	1	5	4	1	0	7
ppk2	Rv3232c	CCP46051	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
ppnK	Rv1695	CCP44460	protein_coding	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	22
recN	Rv1696	CCP44461	protein_coding	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	22
rmlD	Rv3266c	CCP46085	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
rnpA	Rv3923c	CCP46752	protein_coding	0	0	89	0	0	0	0	89	0	0	0	0	0	0	0	0
rplB	Rv0704	CCP43448	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rplC	Rv0701	CCP43445	protein_coding	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2
rplD	Rv0702	CCP43446	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rplP	Rv0708	CCP43452	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rplV	Rv0706	CCP43450	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rplW	Rv0703	CCP43447	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
rpmC	Rv0709	CCP43453	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
